species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
BC9,JB370,10,5,bacteria,422200000,7.39,390000000,7.43,8.625518228971638,8.5910646070265,10
BC9,JB370,10,7,bacteria,204800000,7.792,254000000,7.71,8.311329952303794,8.4048337166199385,10
BC9,JB370,21,5,bacteria,362075000,7.045,411500000,7.04,8.55879853935203,8.614369839548289,21
BC9,JB370,21,7,bacteria,230600000,7.8420000000000005,210000000,7.87,8.36285930295868,8.32221929473392,21
BC9,community,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,community,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,community,3,5,bacteria,9400000,6.702,9000000,6.66,6.973127853599698,6.954242509439325,3
BC9,community,3,7,bacteria,56800000,7.25,50000000,7.16,7.754348335711019,7.698970004336019,3
BC9,community,10,5,bacteria,2820000,6.544,2400000,6.55,6.450249108319361,6.380211241711606,10
BC9,community,10,7,bacteria,27080000,6.712,22000000,6.7,7.432648660013107,7.342422680822207,10
BC9,community,21,5,bacteria,2002000,7.508,1000000,7.31,6.3014640731433,6,21
BC9,community,21,7,bacteria,43000000,7.79,42000000,7.82,7.633468455579586,7.623249290397901,21
JB5,alone,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,alone,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,alone,3,5,bacteria,276,5.956,310,5.93,2.4409090820652177,2.4913616938342726,3
JB5,alone,3,7,bacteria,7300000,7.222,4340000,7.19,6.863322860120456,6.63748972951251,3
JB5,alone,10,5,bacteria,7680,6.068,7800,6.12,3.885361220031512,3.8920946026904804,10
JB5,alone,10,7,bacteria,1950000000,7.682,2090000000,7.61,9.290034611362518,9.320146286111054,10
JB5,alone,21,5,bacteria,6992000,6.05,170000,6.05,6.844601419626347,5.230448921378274,21
JB5,alone,21,7,bacteria,3900000000,7.9959999999999996,4000000000,8.01,9.5910646070265,9.602059991327963,21
JB5,135E,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
