"spec","cond","pH","rep","day","count","dilution","cfus","measured.pH","class"
"JB370","JB5",5,1,10,95,-3,950000,7.1,"fungi"
"JB370","JB7",5,1,10,33,-4,3300000,7.07,"fungi"
"JB370","135E",5,1,10,67,-2,67000,7.38,"fungi"
"JB370","community",5,1,10,47,0,470,6.37,"fungi"
"BC9","alone",7,1,10,30,-6,3e+08,7.47,"bacteria"
"BC9","BC10",7,1,10,49,-5,4.9e+07,7.44,"bacteria"
"BC9","JB5",7,1,10,29,-6,2.9e+08,7.55,"bacteria"
"BC9","JB7",7,1,10,31,-6,3.1e+08,7.53,"bacteria"
"BC9","135E",7,1,10,189,-5,1.89e+08,7.6,"bacteria"
"BC9","JBC",7,1,10,NA,-5,0,6.69,"bacteria"
"BC9","JB370",7,1,10,152,-5,1.52e+08,7.82,"bacteria"
"BC9","community",7,1,10,39,-5,3.9e+07,6.48,"bacteria"
"BC10","alone",7,1,10,222,-5,2.22e+08,7.4,"bacteria"
"BC10","BC9",7,1,10,195,-5,1.95e+08,7.44,"bacteria"
"BC10","JB5",7,1,10,251,-5,2.51e+08,7.56,"bacteria"
"BC10","JB7",7,1,10,228,-5,2.28e+08,7.63,"bacteria"
"BC10","135E",7,1,10,646,-5,6.46e+08,7.64,"bacteria"
"BC10","JBC",7,1,10,NA,-6,0,6.62,"bacteria"
"BC10","JB370",7,1,10,175,-5,1.75e+08,7.78,"bacteria"
"BC10","community",7,1,10,103,-5,1.03e+08,6.48,"bacteria"
"JB5","alone",7,1,10,209,-6,2.09e+09,7.56,"bacteria"
"JB5","BC9",7,1,10,259,-6,2.59e+09,7.55,"bacteria"
"JB5","BC10",7,1,10,114,-6,1.14e+09,7.56,"bacteria"
"JB5","JB7",7,1,10,141,-6,1.41e+09,7.66,"bacteria"
"JB5","135E",7,1,10,268,-6,2.68e+09,7.55,"bacteria"
"JB5","JBC",7,1,10,17,-2,17000,6.99,"bacteria"
"JB5","JB370",7,1,10,511,-5,5.11e+08,7.79,"bacteria"
